Counts,TimeDiff1
100000,0:00:01.023089
200000,0:00:01.213897
300000,0:00:00.951845
400000,0:00:01.157175
500000,0:00:01.086308
600000,0:00:00.751707
700000,0:00:00.764112
800000,0:00:01.005550
900000,0:00:00.757373
1000000,0:00:00.826237
1100000,0:00:00.789934
1200000,0:00:00.826784
1300000,0:00:00.959083
1400000,0:00:00.749985
1500000,0:00:00.955863
1600000,0:00:00.886099
1700000,0:00:00.770701
1800000,0:00:00.835394
1900000,0:00:00.938600
2000000,0:00:00.936367
2100000,0:00:00.817135
2200000,0:00:00.923544
2300000,0:00:01.120058
2400000,0:00:01.489244
2500000,0:00:01.132276
2600000,0:00:00.919473
2700000,0:00:00.905709
2800000,0:00:01.164942
2900000,0:00:01.143861
3000000,0:00:01.215060
3100000,0:00:00.893773
3200000,0:00:01.362788
3300000,0:00:01.142341
3400000,0:00:01.242457
3500000,0:00:01.735890
3600000,0:00:00.785148
3700000,0:00:01.701353
3800000,0:00:01.030149
3900000,0:00:01.115360
4000000,0:00:01.294592
4100000,0:00:01.490929
4200000,0:00:01.256729
4300000,0:00:01.188450
4400000,0:00:01.896675
4500000,0:00:01.369199
4600000,0:00:01.333646
4700000,0:00:01.678720
4800000,0:00:01.313378
4900000,0:00:01.147879
5000000,0:00:01.278333
5100000,0:00:01.465758
5200000,0:00:01.666351
5300000,0:00:01.323001
5400000,0:00:01.550424
5500000,0:00:01.772070
5600000,0:00:01.201369
5700000,0:00:01.280637
5800000,0:00:01.439109
5900000,0:00:01.828037
6000000,0:00:01.378963
6100000,0:00:02.099426
6200000,0:00:01.337133
6300000,0:00:01.495891
6400000,0:00:01.513430
6500000,0:00:02.696190
6600000,0:00:01.758534
6700000,0:00:01.752942
6800000,0:00:01.419544
6900000,0:00:01.144663
7000000,0:00:01.830975
7100000,0:00:01.829057
7200000,0:00:01.308143
7300000,0:00:03.345344
7400000,0:00:02.090287
7500000,0:00:03.110598
7600000,0:00:01.469915
7700000,0:00:02.742631
7800000,0:00:02.125245
7900000,0:00:02.143322
8000000,0:00:02.930684
8100000,0:00:02.257790
8200000,0:00:01.732519
8300000,0:00:03.085160
8400000,0:00:03.180260
8500000,0:00:03.410279
8600000,0:00:04.270513
8700000,0:00:02.687490
8800000,0:00:02.782685
8900000,0:00:03.979124
9000000,0:00:05.238878
9100000,0:00:01.830168
9200000,0:00:04.312186
9300000,0:00:02.927748
9400000,0:00:06.708710
9500000,0:00:04.746046
9600000,0:00:04.268305
9700000,0:00:04.591550
9800000,0:00:03.610590
9900000,0:00:05.591354
10000000,0:00:04.787305
10100000,0:00:07.002271
10200000,0:00:08.258110
10300000,0:00:02.515348
10400000,0:00:04.693649
10500000,0:00:06.561127
10600000,0:00:04.920236
10700000,0:00:06.654201
10800000,0:00:07.185818
10900000,0:00:06.667601
11000000,0:00:04.873327
11100000,0:00:06.473684
11200000,0:00:08.525075
11300000,0:00:04.868715
11400000,0:00:07.635613
11500000,0:00:07.354237
11600000,0:00:06.333384
11700000,0:00:10.117216
11800000,0:00:05.364648
11900000,0:00:06.219522
12000000,0:00:05.636377
12100000,0:00:09.224999
12200000,0:00:06.063688
12300000,0:00:10.715207
12400000,0:00:08.162987
12500000,0:00:10.438781
12600000,0:00:01.973981
12700000,0:00:10.170016
12800000,0:00:08.356852
12900000,0:00:09.308934
13000000,0:00:10.129811
13100000,0:00:03.068005
13200000,0:00:08.173153
13300000,0:00:08.382782
13400000,0:00:10.625585
13500000,0:00:08.660089
13600000,0:00:05.667014
