filenamefilename,count,start,end,duration
2024-04-02-papers0,1000000,2024-04-18 16:11:10.332288,2024-04-18 16:11:34.238724,0:00:23.906436
2024-04-02-papers1,2000000,2024-04-18 16:12:04.700961,2024-04-18 16:12:31.464541,0:00:26.763580
2024-04-02-papers10,3000000,2024-04-18 16:12:59.113745,2024-04-18 16:13:26.920420,0:00:27.806675
2024-04-02-papers11,4000000,2024-04-18 16:13:53.356040,2024-04-18 16:14:21.454630,0:00:28.098590
2024-04-02-papers12,5000000,2024-04-18 16:14:55.403834,2024-04-18 16:15:23.517022,0:00:28.113188
2024-04-02-papers13,5810613,2024-04-18 16:15:53.225395,2024-04-18 16:16:17.939233,0:00:24.713838
2024-04-02-papers14,6810613,2024-04-18 16:16:47.098205,2024-04-18 16:17:18.075812,0:00:30.977607
2024-04-02-papers15,7810613,2024-04-18 16:17:52.034271,2024-04-18 16:18:23.911257,0:00:31.876986
2024-04-02-papers16,8810613,2024-04-18 16:18:57.861028,2024-04-18 16:19:25.460802,0:00:27.599774
2024-04-02-papers17,9810613,2024-04-18 16:19:52.294035,2024-04-18 16:20:21.077459,0:00:28.783424
2024-04-02-papers18,10810613,2024-04-18 16:20:46.507893,2024-04-18 16:21:19.033619,0:00:32.525726
2024-04-02-papers19,11810613,2024-04-18 16:21:53.056315,2024-04-18 16:22:20.492968,0:00:27.436653
2024-04-02-papers2,12810613,2024-04-18 16:22:47.234639,2024-04-18 16:23:08.453454,0:00:21.218815
2024-04-02-papers20,13810613,2024-04-18 16:23:42.052709,2024-04-18 16:24:03.279682,0:00:21.226973
2024-04-02-papers21,14810613,2024-04-18 16:24:37.190811,2024-04-18 16:24:59.641216,0:00:22.450405
2024-04-02-papers22,15810613,2024-04-18 16:25:31.485985,2024-04-18 16:25:58.746167,0:00:27.260182
2024-04-02-papers23,16810613,2024-04-18 16:26:25.656627,2024-04-18 16:26:57.482653,0:00:31.826026
2024-04-02-papers24,17810613,2024-04-18 16:27:31.597788,2024-04-18 16:28:06.177731,0:00:34.579943
2024-04-02-papers25,18810613,2024-04-18 16:28:40.191617,2024-04-18 16:29:14.879221,0:00:34.687604
2024-04-02-papers26,19810613,2024-04-18 16:29:48.705307,2024-04-18 16:30:15.327499,0:00:26.622192
2024-04-02-papers27,20810613,2024-04-18 16:30:42.889705,2024-04-18 16:31:17.659409,0:00:34.769704
2024-04-02-papers28,21810613,2024-04-18 16:31:51.586848,2024-04-18 16:32:27.899711,0:00:36.312863
2024-04-02-papers29,22810613,2024-04-18 16:33:02.070543,2024-04-18 16:33:39.722976,0:00:37.652433
2024-04-02-papers3,23810613,2024-04-18 16:34:13.716419,2024-04-18 16:34:57.814515,0:00:44.098096
2024-04-02-papers4,24810613,2024-04-18 16:35:31.467836,2024-04-18 16:36:15.385641,0:00:43.917805
2024-04-02-papers5,25810613,2024-04-18 16:36:49.553410,2024-04-18 16:37:19.965564,0:00:30.412154
2024-04-02-papers6,26810613,2024-04-18 16:37:43.628340,2024-04-18 16:38:13.528322,0:00:29.899982
2024-04-02-papers7,27810613,2024-04-18 16:38:47.726515,2024-04-18 16:39:16.848277,0:00:29.121762
2024-04-02-papers8,28810613,2024-04-18 16:39:51.039406,2024-04-18 16:40:21.895252,0:00:30.855846
2024-04-02-papers9,29810613,2024-04-18 16:40:56.023994,2024-04-18 16:41:28.817537,0:00:32.793543
